id,observed_on,created_at,updated_at,oauth_application_id,place_guess,latitude,longitude,species_guess,scientific_name,common_name,iconic_taxon_name,nombre_asp,manejo,estatus,siglas_cat,nombre_ac,siglas_ac,descripcion_ac,area_asp,distancia_asp,rio,tipo_rio,area_rio,distancia_rio,conteo
479309,12/10/2013,10/12/2013 12:28,16/05/2017 21:56:13,10,"Autopista 1, Cañas, Guanacaste, CR",10.42393536,-85.09234725,Rana Leopardo de Forrer,Lithobates forreri,Forrer's Grass Frog,Amphibia,Taboga,Reserva Forestal,Estatal,RF,Area de Conservacion Arenal-Tempisque,ACAT,Area terrestre protegida,29688.98206,10625.55999,Rio Cañas,Rio,0.137590477,0.004950324,1
479871,12/11/2013,11/12/2013 12:36,13/05/2015 02:35:22,10,"Autopista 1, Cañas, Guanacaste, CR",10.45399668,-85.13069848,Lithobates forreri,Lithobates forreri,Forrer's Grass Frog,Amphibia,Taboga,Reserva Forestal,Estatal,RF,Area de Conservacion Arenal-Tempisque,ACAT,Area terrestre protegida,29688.98206,12327.18448,Rio Corobici,Rio,0.03278104,0.000256389,1
480294,12/11/2013,12/12/2013 1:53,13/05/2015 02:35:21,10,"Autopista 1, Cañas, Guanacaste, CR",10.46299717,-85.14955474,Lithobates forreri,Lithobates forreri,Forrer's Grass Frog,Amphibia,Taboga,Reserva Forestal,Estatal,RF,Area de Conservacion Arenal-Tempisque,ACAT,Area terrestre protegida,29688.98206,13194.01607,Rio Tenorio,Rio,0.047270015,0.011844369,1
481520,12/14/2013,15/12/2013 00:58:23,13/05/2015 02:35:20,10,"Autopista 1, Bagaces, Guanacaste, CR",10.48735,-85.22122167,Lithobates forreri,Lithobates forreri,Forrer's Grass Frog,Amphibia,Lomas de Barbudal,Reserva Biologica,Estatal,RB,Area de Conservacion Arenal-Tempisque,ACAT,Area terrestre protegida,348829.021,8322.119642,Rio Villa Vieja,Rio,0.100890651,0.007329776,1
482704,12/16/2013,17/12/2013 00:39:05,13/05/2015 02:35:16,10,"Autopista 1, Bagaces, Guanacaste, CR",10.481187,-85.213907,Lithobates forreri,Lithobates forreri,Forrer's Grass Frog,Amphibia,Lomas de Barbudal,Reserva Biologica,Estatal,RB,Area de Conservacion Arenal-Tempisque,ACAT,Area terrestre protegida,348829.021,8880.675195,Rio San Geronimo,Rio,0.097507678,0.007649747,1
628923,4/16/2014,17/04/2014 18:41:13,13/05/2015 02:31:09,2,,,,Lithobates taylori,Lithobates taylori,Peralta Frog,Amphibia,,,,,,,,,#¿NOMBRE?,,,,#¿NOMBRE?,1
628927,4/17/2014,17/04/2014 18:41:27,7/1/2021 21:08,2,"Arenal, CR-AL-SC, CR-AL, CR",10.48621611,-84.73142223,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Arenal,Parque Nacional,Estatal,PN,Area de Conservacion Arenal Huetar Norte,ACAHN,Area terrestre protegida,1194529.52,0,Rio Arenal,Rio,0.139849786,0.007067778,1
629640,4/17/2014,18/04/2014 02:10:19,24/01/2021 23:11:29,10,"Refugio Gandoca - Manzanillo, Talamanca, Limón, CR",9.636995,-82.691501,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Gandoca Manzanillo,Refugio Nacional de Vida Silvestre,Mixto,RNVS,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,456466.7839,38.10362111,Rio Cortez,Rio,0.067059452,0.041693206,1
629652,4/17/2014,18/04/2014 02:32:24,7/10/2020 20:58,10,,9.627077,-82.669696,Smilisca sp,Smilisca,Smilisca Tree Frogs,Amphibia,Gandoca Manzanillo,Refugio Nacional de Vida Silvestre,Mixto,RNVS,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,456466.7839,59.37130362,Rio Gandoca,Rio,0.072077578,0.063477116,1
629653,4/17/2014,18/04/2014 02:32:27,13/05/2015 02:31:07,10,"Refugio Gandoca - Manzanillo, Talamanca, Limón, CR",9.628032669,-82.67609803,Smilisca sp,Smilisca,Smilisca Tree Frogs,Amphibia,Gandoca Manzanillo,Refugio Nacional de Vida Silvestre,Mixto,RNVS,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,456466.7839,73.03822784,Rio Cortez,Rio,0.067059452,0.058979103,1
631166,4/18/2014,19/04/2014 03:02:40,23/10/2018 22:03:43,10,"Autopista 32, Matina, Limón, CR",10.07763117,-83.40594462,Neotropical Grass Frogs,Leptodactylus,Neotropical Grass Frogs,Amphibia,Rio Pacuare,Reserva Forestal,Estatal,RF,Area de Conservacion La Amistad Caribe,ACLAC,Area terrestre protegida,1318934.532,1195.427151,Rio Madre De Dios,Rio,0.30054593,0.002083673,1
631256,4/18/2014,19/04/2014 04:04:53,24/01/2021 23:11:44,10,"Autopista 32, Matina, Limón, CR",10.04160663,-83.2743609,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Nacional Cariari,Humedal,Estatal,HH,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,77878.51994,10076.84629,Rio Chirripo,Rio,0.077748119,0.010855832,1
631257,4/18/2014,19/04/2014 04:04:53,24/01/2021 23:11:59,10,"Autopista 32, Matina, Limón, CR",10.041636,-83.274304,Giant Toad,Rhinella horribilis,Giant Toad,Amphibia,Nacional Cariari,Humedal,Estatal,HH,Area de Conservacion Tortuguero,ACTo,Area terrestre protegida,77878.51994,10070.02792,Rio Chirripo,Rio,0.077748119,0.010914818,1
