taxon;provincia;mes;anno;cuantos
Amphibia;Guanacaste;diciembre;2013;5
Amphibia;Limón;abril;2014;33
Amphibia;Limón;mayo;2014;15
Amphibia;Alajuela;abril;2014;1
Amphibia;Alajuela;mayo;2014;38
Amphibia;Guanacaste;mayo;2014;1
Amphibia;Heredia;setiembre;2014;3
Amphibia;Puntarenas;setiembre;2014;9
Amphibia;Cartago;octubre;2014;2
Amphibia;Guanacaste;noviembre;2014;1
Amphibia;Puntarenas;diciembre;2014;1
Amphibia;Puntarenas;febrero;2015;1
Amphibia;Limón;julio;2015;1
Amphibia;Limón;agosto;2015;1
Amphibia;Puntarenas;abril;2016;35
Amphibia;Limón;junio;2016;1
Amphibia;Guanacaste;octubre;2016;1
Amphibia;Guanacaste;agosto;2017;1
Amphibia;San José;agosto;2017;1
Amphibia;Heredia;noviembre;2017;1
Amphibia;Alajuela;octubre;2018;1
Amphibia;Cartago;julio;2019;1
Amphibia;Puntarenas;agosto;2019;1
Amphibia;Guanacaste;agosto;2019;1
Amphibia;Guanacaste;setiembre;2019;1
Amphibia;Guanacaste;febrero;2020;1
Amphibia;Guanacaste;mayo;2020;2
Amphibia;Guanacaste;junio;2020;1
Amphibia;Heredia;julio;2020;1
Amphibia;Puntarenas;julio;2020;1
Amphibia;Heredia;agosto;2020;1
Amphibia;Puntarenas;agosto;2020;1
Amphibia;Guanacaste;agosto;2020;7
Amphibia;Limón;octubre;2020;1
Amphibia;Guanacaste;diciembre;2020;2
Amphibia;Puntarenas;diciembre;2020;1
Amphibia;Guanacaste;mayo;2021;2
Amphibia;Heredia;mayo;2021;1
Amphibia;San José;mayo;2021;1
Amphibia;Limón;junio;2021;1
Amphibia;Guanacaste;junio;2021;3
Amphibia;San José;junio;2021;1
Amphibia;Limón;julio;2021;1
Amphibia;Guanacaste;julio;2021;2
Amphibia;Guanacaste;agosto;2021;2
Amphibia;Puntarenas;agosto;2021;1
Amphibia;Guanacaste;octubre;2021;1
Amphibia;Alajuela;marzo;2022;1
Amphibia;Guanacaste;abril;2022;1
Amphibia;Guanacaste;mayo;2022;2
Birds;Guanacaste;diciembre;2013;2
Birds;Limón;abril;2014;12
Birds;Limón;mayo;2014;13
Birds;Cartago;abril;2014;1
Birds;Heredia;mayo;2014;1
Birds;Alajuela;mayo;2014;2
Birds;Guanacaste;mayo;2014;1
Birds;Alajuela;julio;2014;2
Birds;Puntarenas;agosto;2014;1
Birds;Puntarenas;setiembre;2014;1
Birds;Heredia;octubre;2014;1
Birds;Puntarenas;octubre;2014;1
Birds;Guanacaste;noviembre;2014;1
Birds;Puntarenas;diciembre;2014;1
Birds;Guanacaste;diciembre;2014;1
Birds;Heredia;enero;2015;1
Birds;Puntarenas;febrero;2015;1
Birds;Limón;febrero;2015;2
Birds;Puntarenas;marzo;2015;1
Birds;Guanacaste;marzo;2015;4
Birds;Alajuela;marzo;2015;1
Birds;Heredia;marzo;2015;2
Birds;Heredia;mayo;2015;3
Birds;Limón;junio;2015;2
Birds;Limón;julio;2015;1
Birds;Limón;setiembre;2015;1
Birds;Puntarenas;diciembre;2016;1
Birds;Heredia;marzo;2016;1
Birds;Puntarenas;abril;2016;9
Birds;Puntarenas;junio;2016;4
Birds;San José;junio;2016;1
Birds;Alajuela;junio;2016;1
Birds;Limón;junio;2016;1
Birds;Puntarenas;mayo;2016;1
Birds;Puntarenas;agosto;2017;1
Birds;Guanacaste;marzo;2019;1
Birds;San José;agosto;2019;1
Birds;Guanacaste;setiembre;2019;1
Birds;Guanacaste;febrero;2020;1
Birds;San José;febrero;2020;1
Birds;Guanacaste;marzo;2020;1
Birds;Alajuela;mayo;2020;1
Birds;Heredia;junio;2020;1
Birds;Cartago;julio;2020;1
Birds;Guanacaste;julio;2020;2
Birds;Guanacaste;setiembre;2020;1
Birds;Guanacaste;noviembre;2020;1
Birds;Puntarenas;enero;2021;1
Birds;Guanacaste;febrero;2021;1
Birds;Guanacaste;marzo;2021;1
Birds;Alajuela;mayo;2021;1
Birds;Guanacaste;mayo;2021;1
Birds;Puntarenas;junio;2021;1
Birds;Limón;junio;2021;1
Birds;Alajuela;junio;2021;2
Birds;Cartago;junio;2021;1
Birds;Heredia;julio;2021;1
Birds;Guanacaste;julio;2021;1
Birds;Limón;julio;2021;1
Birds;Guanacaste;agosto;2021;1
Birds;Puntarenas;setiembre;2021;2
Birds;Puntarenas;mayo;2021;1
Birds;Alajuela;setiembre;2021;1
Birds;Guanacaste;octubre;2021;1
Birds;Puntarenas;noviembre;2021;1
Birds;Alajuela;noviembre;2021;1
Birds;Guanacaste;noviembre;2021;1
Birds;Alajuela;diciembre;2021;1
Birds;Puntarenas;mayo;2022;1
Birds;Guanacaste;mayo;2022;1
Birds;Guanacaste;junio;2022;2
Birds;Puntarenas;junio;2022;1
Birds;Alajuela;julio;2022;1
Birds;Alajuela;abril;2022;1
Birds;Guanacaste;agosto;2022;2
Mammalia;Guanacaste;diciembre;2013;16
Mammalia;Puntarenas;diciembre;2013;1
Mammalia;Guanacaste;enero;2014;2
Mammalia;Heredia;marzo;2014;2
Mammalia;Guanacaste;marzo;2014;1
Mammalia;Puntarenas;noviembre;2013;1
Mammalia;Guanacaste;abril;2014;8
Mammalia;Alajuela;abril;2014;2
Mammalia;Puntarenas;enero;2014;1
Mammalia;Limón;abril;2014;27
Mammalia;San José;abril;2014;1
Mammalia;Guanacaste;mayo;2014;6
Mammalia;Limón;mayo;2014;10
Mammalia;Puntarenas;mayo;2014;5
Mammalia;Alajuela;mayo;2014;3
Mammalia;Puntarenas;junio;2014;4
Mammalia;Guanacaste;junio;2014;5
Mammalia;Puntarenas;julio;2014;4
Mammalia;Guanacaste;julio;2014;5
Mammalia;Alajuela;julio;2014;2
Mammalia;Cartago;julio;2014;1
Mammalia;Limón;julio;2014;3
Mammalia;Heredia;julio;2014;1
Mammalia;Guanacaste;agosto;2014;9
Mammalia;Limón;agosto;2014;3
Mammalia;Puntarenas;agosto;2014;1
Mammalia;Puntarenas;setiembre;2014;8
Mammalia;Alajuela;setiembre;2014;3
Mammalia;Guanacaste;setiembre;2014;2
Mammalia;Limón;setiembre;2014;2
Mammalia;San José;setiembre;2014;1
Mammalia;Heredia;setiembre;2014;5
Mammalia;Heredia;octubre;2014;4
Mammalia;Guanacaste;octubre;2014;5
Mammalia;Puntarenas;octubre;2014;3
Mammalia;Cartago;octubre;2014;1
Mammalia;Guanacaste;noviembre;2014;8
Mammalia;San José;noviembre;2014;1
Mammalia;Puntarenas;noviembre;2014;1
